"estimator","band","intercept","endmember","ci_low","ci_high","r2","n_cells","max_sev"
"level","red",0.0269,-0.0651,-0.0901,-0.0401,0.0075,3460,0.386
"level","nir",0.3093,-0.0717,-0.2045,0.0611,3e-04,3460,0.386
"level","swir16",0.153,-0.0479,-0.0986,0.0028,0.001,3460,0.386
"level","swir22",0.072,-0.0176,-0.0431,0.008,5e-04,3460,0.386
"change","red",-0.0018,0.0158,0.001,0.0306,0.0013,3460,0.386
"change","nir",0.0414,0.2047,0.1295,0.2798,0.0082,3460,0.386
"change","swir16",0.0225,0.1378,0.1044,0.1712,0.0186,3460,0.386
"change","swir22",0.0131,0.0819,0.0619,0.1019,0.0183,3460,0.386
