"year","summer_mean","warmth","winter_min","summer_mean_lag2"
1990,9.26847222570284,200.322351552311,-39.6801390206542,NA
1991,8.7051768062903,123.113929553877,-39.3104241851978,NA
1992,7.0019437738886,34.3353662817106,-37.000814844226,9.26847222570284
1993,9.24954155690694,229.428125373279,-39.3944242716672,8.7051768062903
1994,9.48736216289372,133.653454563276,-35.3259677962708,7.0019437738886
1995,9.43014569734181,40.4855051958616,-38.4931798866292,9.24954155690694
1996,7.67509424020281,46.0656443685921,-37.7948305501688,9.48736216289372
1997,9.59037622279068,256.389144705411,-38.3820936247346,9.43014569734181
1998,7.31321967898378,18.3774389291226,-33.5290685125717,7.67509424020281
1999,8.92334988185705,124.217943075745,-43.6379778118619,9.59037622279068
2000,7.56729206490452,10.1175833989577,-32.8470120762988,7.31321967898378
2001,9.00025401240885,68.0491709548498,-28.5527929730494,8.92334988185705
2002,8.11057363150748,91.7669850978136,-36.1755611437695,7.56729206490452
2003,8.6380863773981,159.145674922595,-30.9224311691361,9.00025401240885
2004,9.79061256099643,409.382129886731,-35.926224269167,8.11057363150748
2005,9.04999646180304,161.078718875532,-35.1964151681492,8.6380863773981
2006,8.27661574258323,5.62883593047193,-36.3731331178084,9.79061256099643
2007,9.36116803660072,72.9863024678668,-33.5001223674842,9.04999646180304
2008,7.66762734668061,12.6361579845721,-33.8522281316618,8.27661574258323
2009,9.10761819557503,157.518208342287,-33.9580635390314,9.36116803660072
2010,8.33346599812969,0.502147912602813,-29.4285642012823,7.66762734668061
2011,8.21408900485293,7.89613009107394,-33.3612237448023,9.10761819557503
2012,8.10405816244518,13.8067421563736,-34.6201707319223,8.33346599812969
2013,9.79176082746034,383.963825013987,-32.4259698276827,8.21408900485293
2014,8.60466437146112,42.6059836768454,-30.8543882273439,8.10405816244518
2015,8.87117562002798,213.334914744527,-30.364359562067,9.79176082746034
2016,10.0583935612025,153.77240324888,-28.5859514547147,8.60466437146112
2017,9.44290423036069,75.7855822274369,-34.1176937085037,8.87117562002798
2018,9.0587150714454,49.2688285613738,-27.8655959087527,10.0583935612025
2019,10.8318166735877,820.387187987746,-31.3816169891387,9.44290423036069
2020,8.99908955005044,57.8107411394802,-36.1947150433091,9.0587150714454
2021,8.24702350948755,106.998632684617,-32.2775701991732,10.8318166735877
2022,9.28413245561586,125.974045291274,-33.8398867520502,8.99908955005044
2023,8.86410444731805,116.85948058321,-33.8126704884882,8.24702350948755
